inst#,predicted,prediction,REVIEW-ID,CLASS
2512,positive,0.6,35161,positive
2513,positive,0.697,31195,positive
2514,positive,0.64,60293,positive
2515,positive,0.72,13627,positive
2516,positive,0.57,61822,positive
2517,positive,0.59,19107,positive
2518,positive,0.81,3324,positive
2519,negative,0.5,4480,negative
2520,positive,0.61,16178,positive
2521,negative,0.52,15733,negative
2522,positive,0.56,7372,positive
2523,positive,0.58,23404,positive
2524,positive,0.88,26308,positive
2525,negative,0.5,33359,negative
2526,positive,0.79,63936,positive
2527,negative,0.76,68506,negative
2528,positive,0.65,71174,positive
2529,positive,0.63,59686,positive
2530,positive,0.45,38006,positive
2531,positive,0.74,12526,positive
2532,positive,0.64,39696,positive
2533,negative,0.37,13854,negative
2534,positive,0.71,7792,positive
2535,positive,0.38,30507,positive
2536,positive,0.76,42120,positive
2537,positive,0.76,26036,positive
2538,positive,0.72,54070,positive
2539,negative,0.47,15128,negative
2540,negative,0.53,10602,negative
2541,negative,0.5,38371,negative
2542,positive,0.74,28348,positive
2543,positive,0.85,59265,positive
2544,negative,0.45,8785,negative
2545,positive,0.84,10766,positive
2546,positive,0.6,11239,positive
2547,positive,0.53,25152,positive
2548,positive,0.63,59401,positive
2549,positive,0.85,66020,positive
2550,negative,0.63,8747,negative
2551,positive,0.9,71648,positive
2552,positive,0.61,64334,positive
2553,negative,0.68,14848,negative
2554,positive,0.71,24003,positive
2555,positive,0.84,56850,positive
2556,positive,0.49,6342,positive
2557,negative,0.81,51980,negative
2558,positive,0.485,69842,positive
2559,negative,0.54,10629,negative
2560,positive,0.72,70092,positive
2561,negative,0.84,18556,negative
2562,positive,0.78,9394,positive
2563,positive,0.66,10441,positive
2564,positive,0.46,66305,positive
2565,negative,0.7,8809,negative
2566,positive,0.37,61965,positive
2567,positive,0.68,35941,positive
2568,negative,0.91,58062,negative
2569,positive,0.77,57913,positive
2570,positive,0.84,31931,positive
2571,positive,0.66,50811,positive
2572,positive,0.88,42718,positive
2573,positive,0.8,35641,positive
2574,positive,0.78,56948,positive
2575,positive,0.53,23383,positive
2576,positive,0.69,29079,positive
2577,positive,0.6,7055,positive
2578,positive,0.78,62721,positive
2579,positive,0.48,63895,positive
2580,positive,0.43,45485,positive
2581,positive,0.91,30841,positive
2582,positive,0.9,58707,positive
2583,positive,0.7,69554,positive
2584,negative,0.61,10628,negative
2585,negative,0.53,22183,negative
2586,positive,0.61,43967,positive
2587,positive,0.609,25067,positive
2588,negative,0.4,37401,negative
2589,positive,0.7,4063,positive
2590,positive,0.55,51816,positive
2591,negative,0.59,58016,negative
2592,positive,0.53,46519,positive
2593,negative,0.68,32423,negative
2594,positive,0.45,51295,positive
2595,positive,0.66,66171,positive
2596,positive,0.61,21578,positive
2597,positive,0.91,52608,positive
2598,negative,0.73,66751,negative
2599,positive,0.55,61779,positive
2600,positive,0.51,55653,positive
2601,positive,0.69,35276,positive
2602,positive,0.66,64415,positive
2603,positive,0.58,56884,positive
2604,negative,0.4,34656,negative
2605,positive,0.85,61142,positive
2606,positive,0.85,70173,positive
2607,negative,0.6,19191,negative
2608,positive,0.43,12366,positive
2609,negative,0.54,36560,negative
2610,positive,0.41,51831,positive
2611,positive,0.744,7759,positive
2612,positive,0.51,47245,positive
2613,positive,0.56,43028,positive
2614,positive,0.42,40644,positive
2615,positive,0.49,322,positive
2616,positive,0.67,8166,positive
2617,negative,0.78,33289,negative
2618,positive,0.5,41363,positive
2619,positive,0.87,41169,positive
2620,negative,0.44,38167,negative
2621,positive,0.609,24208,positive
2622,positive,0.61,49602,positive
2623,positive,0.71,51736,positive
2624,positive,0.61,47223,positive
2625,negative,0.63,8938,negative
2626,positive,0.97,59561,positive
2627,positive,0.54,4713,positive
2628,positive,0.607,28378,positive
2629,negative,0.49,40794,negative
2630,neutral,0.4,47857,neutral
2631,positive,0.52,6648,positive
2632,positive,0.59,52380,positive
2633,positive,0.94,60581,positive
2634,positive,0.64,66785,positive
2635,positive,0.4,8235,positive
2636,positive,0.44,25334,positive
2637,positive,0.48,70306,positive
2638,positive,0.72,23320,positive
2639,negative,0.49,59452,negative
2640,positive,0.54,50404,positive
2641,negative,0.46,58252,negative
2642,positive,0.5,43099,positive
2643,negative,0.61,24873,negative
2644,negative,0.55,26736,negative
2645,negative,0.53,32302,negative
2646,positive,0.92,71905,positive
2647,positive,0.54,46263,positive
2648,positive,0.51,67896,positive
2649,negative,0.51,64554,negative
2650,positive,0.91,33974,positive
2651,positive,0.53,22412,positive
2652,positive,0.62,7703,positive
2653,positive,1,57327,positive
2654,positive,0.61,19974,positive
2655,negative,0.55,18567,negative
2656,positive,0.7,25377,positive
2657,positive,0.7,42628,positive
2658,positive,0.6,55166,positive
2659,positive,0.79,61639,positive
2660,negative,0.53,9890,negative
2661,positive,0.66,10250,positive
2662,negative,0.79,14858,negative
2663,negative,0.73,36951,negative
2664,positive,0.43,8112,positive
2665,positive,0.78,25797,positive
2666,positive,0.67,19203,positive
2667,positive,0.93,62967,positive
2668,positive,0.85,64896,positive
2669,positive,0.83,62823,positive
2670,positive,0.9,23922,positive
2671,positive,0.81,5245,positive
2672,positive,0.87,60201,positive
2673,positive,0.84,3408,positive
2674,positive,0.55,24264,positive
2675,positive,0.58,45367,positive
2676,positive,0.72,6137,positive
2677,positive,0.78,60398,positive
2678,positive,0.42,62722,positive
2679,positive,0.71,38294,positive
2680,positive,0.43,12280,positive
2681,positive,0.9,64337,positive
2682,negative,0.4,66762,negative
2683,positive,0.47,13584,positive
2684,negative,0.79,36977,negative
2685,negative,0.42,61960,negative
2686,positive,0.9,15378,positive
2687,positive,0.72,60932,positive
2688,positive,0.84,24206,positive
2689,negative,0.53,25554,negative
2690,positive,0.84,38523,positive
2691,positive,0.59,9438,positive
2692,positive,0.49,31672,positive
2693,negative,0.68,13770,negative
2694,negative,0.78,42933,negative
2695,positive,0.45,14513,positive
2696,positive,0.91,52664,positive
2697,positive,0.72,36358,positive
2698,positive,0.48,31497,positive
2699,negative,0.75,44136,negative
2700,positive,0.72,4775,positive
2701,negative,0.83,36483,negative
2702,neutral,0.39,53874,neutral
2703,positive,0.89,5433,positive
2704,positive,0.42,60091,positive
2705,positive,0.72,23259,positive
2706,positive,0.57,22703,positive
2707,positive,0.44,37734,positive
2708,positive,0.72,53231,positive
2709,negative,0.54,10509,negative
2710,positive,0.58,12233,positive
2711,positive,0.39,48614,positive
2712,negative,0.75,29346,negative
2713,positive,0.76,54065,positive
2714,positive,0.39,39176,positive
2715,positive,0.85,53323,positive
2716,positive,0.84,62956,positive
2717,negative,0.45,27907,negative
2718,positive,0.54,20986,positive
2719,positive,0.84,44488,positive
2720,negative,0.6,49533,negative
2721,positive,0.91,3924,positive
2722,positive,0.85,66811,positive
2723,positive,0.61,8182,positive
2724,positive,0.47,27804,positive
2725,positive,0.61,13090,positive
2726,positive,0.54,39880,positive
2727,positive,0.66,12144,positive
2728,negative,0.84,33377,negative
2729,positive,0.72,60430,positive
2730,positive,0.9,10032,positive
2731,positive,0.67,49545,positive
2732,positive,0.92,62014,positive
2733,negative,0.58,4454,negative
2734,positive,0.42,15153,positive
2735,positive,0.75,29098,positive
2736,positive,0.7,55240,positive
2737,positive,0.59,15400,positive
2738,positive,0.46,56556,positive
2739,negative,0.46,38135,negative
2740,positive,0.77,70016,positive
2741,positive,0.79,10913,positive
2742,positive,0.96,43238,positive
2743,positive,0.47,20950,positive
2744,positive,0.72,47382,positive
2745,negative,0.66,19705,negative
2746,positive,0.53,10021,positive
2747,positive,0.65,42563,positive
2748,positive,0.61,66049,positive
2749,positive,0.53,20513,positive
2750,positive,0.49,31899,positive
2751,positive,0.52,49098,positive
2752,positive,0.77,17891,positive
2753,positive,0.81,57068,positive
2754,positive,0.62,32017,positive
2755,positive,0.49,46868,positive
2756,positive,0.45,55601,positive
2757,negative,0.49,11132,negative
2758,positive,0.64,44514,positive
2759,positive,0.76,34161,positive
2760,positive,0.52,49539,positive
2761,negative,0.56,65388,negative
2762,positive,0.95,60126,positive
2763,positive,0.69,63368,positive
2764,positive,0.87,57703,positive
2765,positive,0.72,57708,positive
2766,negative,0.59,28648,negative
2767,negative,0.72,21367,negative
2768,positive,0.64,60540,positive
2769,positive,0.66,5778,positive
2770,positive,0.39,39296,positive
2771,positive,0.65,3338,positive
2772,positive,0.88,66518,positive
2773,positive,0.65,10699,positive
2774,positive,0.68,976,positive
2775,positive,0.72,46086,positive
2776,positive,0.9,35854,positive
2777,positive,0.66,29638,positive
2778,positive,0.84,40256,positive
2779,positive,0.46,32062,positive
2780,neutral,0.42,31538,neutral
2781,neutral,0.44,51770,neutral
2782,negative,0.46,15183,negative
2783,positive,0.73,66782,positive
2784,negative,0.5,28706,negative
2785,positive,0.7,41458,positive
2786,positive,0.57,53451,positive
2787,positive,0.88,69188,positive
2788,positive,0.64,6746,positive
2789,positive,0.45,6530,positive
2790,negative,0.76,30010,negative
2791,positive,0.53,10994,positive
2792,negative,0.51,36700,negative
2793,positive,0.37,36551,positive
2794,negative,0.69,817,negative
2795,positive,0.66,59123,positive
2796,positive,0.55,47430,positive
2797,positive,0.94,63023,positive
2798,positive,0.47,62502,positive
2799,negative,0.61,41552,negative
2800,positive,0.71,65549,positive
2801,positive,0.45,37107,positive
2802,positive,0.53,29175,positive
2803,positive,0.54,65841,positive
2804,positive,0.38,40037,positive
2805,positive,0.47,7401,positive
2806,negative,0.47,32901,negative
2807,negative,0.68,32192,negative
2808,neutral,0.35,12445,neutral
2809,positive,0.54,45310,positive
2810,negative,0.48,38418,negative
2811,positive,0.78,14690,positive
2812,positive,0.58,34824,positive
2813,negative,0.49,34412,negative
2814,positive,0.61,45120,positive
2815,negative,0.46,30187,negative
2816,positive,0.65,28875,positive
2817,negative,0.46,14048,negative
2818,positive,0.58,26189,positive
2819,positive,0.51,38504,positive
2820,positive,0.47,61765,positive
2821,positive,0.91,13960,positive
2822,negative,0.72,6847,negative
2823,negative,0.75,67291,negative
2824,negative,0.58,36509,negative
2825,negative,0.66,44260,negative
2826,positive,0.93,24027,positive
2827,positive,0.61,3424,positive
2828,negative,0.5,31129,negative
2829,positive,0.71,42465,positive
2830,positive,0.52,47931,positive
2831,positive,0.59,55193,positive
2832,negative,0.77,64718,negative
2833,positive,0.79,9423,positive
2834,positive,0.64,38457,positive
2835,positive,0.61,45529,positive
2836,negative,0.41,41571,negative
2837,positive,0.68,21986,positive
2838,negative,0.38,21483,negative
2839,positive,0.38,62181,positive
2840,positive,0.53,1248,positive
2841,positive,0.82,40603,positive
2842,positive,0.55,25905,positive
2843,positive,0.77,47051,positive
2844,positive,0.89,30594,positive
2845,positive,0.61,40801,positive
2846,positive,0.88,35446,positive
2847,positive,0.42,55296,positive
2848,positive,0.44,47640,positive
2849,negative,0.54,71778,negative
2850,positive,0.74,12066,positive
2851,positive,0.65,72349,positive
2852,negative,0.82,41877,negative
2853,negative,0.49,53859,negative
2854,positive,0.74,59828,positive
2855,positive,0.64,41859,positive
2856,positive,0.77,72264,positive
2857,negative,0.85,58140,negative
2858,positive,0.64,72235,positive
2859,positive,0.73,68395,positive
2860,positive,0.68,5468,positive
2861,positive,0.58,37604,positive
2862,positive,0.7,69679,positive
2863,positive,0.65,1801,positive
2864,positive,0.56,65655,positive
2865,positive,0.97,42990,positive
2866,positive,0.55,67764,positive
2867,negative,0.75,52341,negative
2868,negative,0.59,67866,negative
2869,negative,0.71,28231,negative
2870,positive,0.72,59466,positive
2871,positive,0.52,68599,positive
2872,negative,0.43,25917,negative
2873,positive,0.82,5133,positive
2874,positive,0.64,39706,positive
2875,positive,0.55,3998,positive
2876,positive,0.38,27227,positive
2877,negative,0.7,3963,negative
2878,positive,0.55,56328,positive
2879,negative,0.68,11889,negative
2880,positive,0.57,50295,positive
2881,negative,0.45,68973,negative
2882,negative,0.59,54833,negative
2883,negative,0.61,64789,negative
2884,negative,0.6,53411,negative
2885,positive,0.6,10242,positive
2886,negative,0.82,38297,negative
2887,negative,0.43,67330,negative
2888,positive,0.46,14776,positive
2889,positive,0.67,54061,positive
2890,negative,0.53,42065,negative
2891,positive,0.75,10972,positive
2892,positive,0.52,39410,positive
2893,positive,0.52,67839,positive
2894,positive,0.73,24853,positive
2895,positive,0.7,3150,positive
2896,negative,0.4,47879,negative
2897,negative,0.87,9111,negative
2898,positive,0.52,22323,positive
2899,positive,0.43,23658,positive
2900,positive,0.8,60108,positive
2901,negative,0.69,4784,negative
2902,positive,0.46,15559,positive
2903,negative,0.56,58270,negative
2904,positive,0.51,6155,positive
2905,negative,0.52,38296,negative
2906,positive,0.75,55893,positive
2907,positive,0.85,55262,positive
2908,negative,0.49,24613,negative
2909,positive,0.56,8973,positive
2910,positive,0.84,23217,positive
2911,negative,0.55,7744,negative
2912,positive,0.52,38398,positive
2913,positive,0.56,35857,positive
2914,positive,0.77,31950,positive
2915,positive,0.48,5770,positive
2916,positive,0.47,30054,positive
2917,negative,0.43,32764,negative
2918,positive,0.61,51457,positive
2919,positive,0.95,413,positive
2920,positive,0.79,42275,positive
2921,positive,0.84,25914,positive
2922,negative,0.47,41168,negative
2923,positive,0.47,22454,positive
2924,positive,0.49,48599,positive
2925,positive,0.56,58375,positive
2926,positive,0.55,70927,positive
2927,positive,0.44,61798,positive
2928,negative,0.52,27700,negative
2929,positive,0.72,23741,positive
2930,negative,0.49,34280,negative
2931,positive,0.87,60917,positive
2932,positive,0.65,49551,positive
2933,positive,0.47,27447,positive
2934,positive,0.49,45467,positive
2935,positive,0.85,41443,positive
2936,positive,0.63,59674,positive
2937,positive,0.62,71129,positive
2938,positive,0.609,23564,positive
2939,negative,0.57,42735,negative
2940,positive,0.59,3731,positive
2941,positive,0.64,36112,positive
2942,positive,0.5,37484,positive
2943,positive,0.53,55161,positive
2944,negative,0.42,8644,negative
2945,positive,0.62,25456,positive
2946,positive,0.58,12390,positive
2947,positive,0.38,24126,positive
2948,positive,0.852,64403,positive
2949,negative,0.59,71635,negative
2950,negative,0.42,7833,negative
2951,positive,0.8,24765,positive
2952,positive,0.4,54769,positive
2953,positive,0.39,3571,positive
2954,negative,0.78,10329,negative
2955,negative,0.51,38795,negative
2956,positive,0.44,45946,positive
2957,negative,0.69,29286,negative
2958,positive,0.5,46690,positive
2959,negative,0.76,2952,negative
2960,negative,0.67,17787,negative
2961,positive,0.39,40833,positive
2962,positive,0.4,45486,positive
2963,positive,0.5,64347,positive
2964,neutral,0.43,47201,neutral
2965,positive,0.57,24036,positive
2966,positive,0.69,67677,positive
2967,positive,0.76,11282,positive
2968,positive,0.85,62067,positive
2969,positive,0.82,31308,positive
2970,positive,0.88,2270,positive
2971,negative,0.84,52546,negative
2972,positive,0.57,60097,positive
2973,positive,0.7,30618,positive
2974,positive,0.36,1380,positive
2975,positive,0.64,9711,positive
2976,positive,0.85,55876,positive
2977,positive,0.65,48505,positive
2978,positive,0.6,17742,positive
2979,positive,0.76,5233,positive
2980,negative,0.56,64183,negative
2981,positive,0.52,58022,positive
2982,positive,0.64,34151,positive
2983,negative,0.59,36655,negative
2984,positive,0.68,19578,positive
2985,positive,0.51,38356,positive
2986,positive,0.82,4607,positive
2987,positive,0.5,13469,positive
2988,positive,0.84,18707,positive
2989,positive,0.76,17713,positive
2990,positive,0.61,31610,positive
2991,positive,0.72,46771,positive
2992,positive,0.38,11998,positive
2993,positive,0.6,63868,positive
2994,positive,0.47,52095,positive
2995,positive,0.58,45734,positive
2996,positive,0.78,70243,positive
2997,positive,0.52,43645,positive
2998,positive,0.77,41296,positive
2999,positive,0.62,54168,positive
3000,positive,0.59,59267,positive
3001,positive,0.63,10084,positive
3002,positive,0.66,13832,positive
3003,negative,0.46,45443,negative
3004,positive,0.58,54123,positive
3005,positive,0.71,56362,positive
3006,positive,0.5,16906,positive
3007,positive,0.73,35592,positive
3008,negative,0.89,65420,negative
3009,positive,0.48,32484,positive
3010,positive,0.526,32885,positive
3011,positive,0.51,24799,positive
3012,positive,0.65,69326,positive
3013,positive,0.79,46686,positive
3014,positive,0.58,48495,positive
3015,positive,0.75,67805,positive
3016,positive,0.65,66403,positive
3017,positive,0.57,68115,positive
3018,positive,0.402,68020,positive
3019,positive,0.6,58738,positive
3020,positive,0.58,13488,positive
3021,positive,0.52,10574,positive
3022,positive,0.81,71715,positive
3023,positive,0.69,60460,positive
3024,positive,0.75,42387,positive
3025,positive,0.72,45736,positive
3026,positive,0.67,404,positive
3027,positive,0.49,42186,positive
3028,positive,0.74,69880,positive
3029,positive,0.63,42821,positive
3030,positive,0.48,50094,positive
3031,positive,0.46,60657,positive
3032,negative,0.72,43793,negative
3033,positive,0.7,2792,positive
3034,negative,0.49,4066,negative
3035,positive,0.55,17260,positive
3036,positive,0.7,34903,positive
3037,positive,0.57,54265,positive
3038,positive,0.56,24767,positive
3039,positive,0.85,29577,positive
3040,positive,0.62,20548,positive
3041,positive,0.72,56798,positive
3042,positive,0.65,23614,positive
3043,positive,0.49,31914,positive
3044,positive,0.61,51875,positive
3045,positive,0.43,46404,positive
3046,positive,0.673,53132,positive
3047,negative,0.35,53151,negative
3048,positive,0.92,70084,positive
3049,positive,0.41,49458,positive
3050,positive,0.6,45084,positive
3051,negative,0.41,18653,negative
3052,positive,0.56,49409,positive
3053,positive,0.56,47102,positive
3054,negative,0.46,18652,negative
3055,negative,0.44,28518,negative
3056,positive,0.79,26032,positive
3057,negative,0.46,49214,negative
3058,positive,0.49,43418,positive
3059,positive,0.84,46977,positive
3060,positive,0.64,40219,positive
3061,negative,0.69,65093,negative
3062,negative,0.51,54433,negative
3063,negative,0.49,64716,negative
3064,positive,0.48,4801,positive
3065,positive,0.77,26276,positive
3066,positive,0.67,56895,positive
3067,positive,0.95,34852,positive
3068,positive,0.61,55456,positive
3069,negative,0.41,32076,negative
3070,positive,0.53,12807,positive
3071,positive,0.62,8813,positive
3072,positive,0.72,38237,positive
3073,positive,0.73,32060,positive
3074,positive,0.56,46258,positive
3075,positive,0.91,35014,positive
3076,positive,0.96,68193,positive
3077,negative,0.7,71792,negative
3078,positive,0.59,61071,positive
3079,positive,0.58,50279,positive
3080,positive,0.84,28048,positive
3081,negative,0.7,41138,negative
3082,positive,0.71,61697,positive
3083,positive,0.63,34037,positive
3084,negative,0.68,57795,negative
3085,positive,0.69,38582,positive
3086,negative,0.58,9066,negative
3087,positive,0.51,51497,positive
3088,positive,0.59,57630,positive
3089,negative,0.42,52090,negative
3090,negative,0.45,10909,negative
3091,positive,0.55,9355,positive
3092,positive,0.59,70667,positive
3093,positive,0.5,54873,positive
3094,positive,0.45,51841,positive
3095,positive,0.86,71060,positive
3096,positive,0.86,71155,positive
3097,positive,0.6,44193,positive
3098,positive,0.66,32422,positive
3099,positive,0.486,478,positive
3100,positive,0.75,72018,positive
3101,negative,0.83,40515,negative
3102,positive,0.7,51767,positive
3103,positive,0.609,25375,positive
3104,negative,0.64,17635,negative
3105,positive,0.4,68278,positive
3106,positive,0.89,51600,positive
3107,positive,0.84,71697,positive
3108,positive,0.93,63103,positive
3109,positive,0.51,55678,positive
3110,negative,0.51,43667,negative
3111,neutral,0.42,38968,neutral
3112,positive,0.78,70511,positive
3113,negative,0.54,64672,negative
3114,positive,0.67,34436,positive
3115,positive,0.71,41806,positive
3116,negative,0.73,24675,negative
3117,positive,0.78,45463,positive
3118,positive,0.45,25787,positive
3119,positive,0.68,30529,positive
3120,positive,0.45,44795,positive
3121,positive,0.67,68326,positive
3122,positive,0.83,55874,positive
3123,positive,0.43,54795,positive
3124,positive,0.45,66750,positive
3125,positive,0.98,34791,positive
3126,positive,0.56,8202,positive
3127,negative,0.47,64753,negative
3128,positive,0.61,61415,positive
3129,negative,0.81,65448,negative
3130,negative,0.48,28248,negative
3131,positive,0.43,3541,positive
3132,positive,0.59,52048,positive
3133,negative,0.71,2532,negative
3134,positive,0.49,54855,positive
3135,negative,0.8,27451,negative
3136,positive,0.62,69664,positive
3137,positive,0.96,42091,positive
3138,negative,0.73,28407,negative
3139,positive,0.69,12913,positive
3140,positive,0.86,58912,positive
3141,positive,0.78,44458,positive
3142,positive,0.52,12038,positive
3143,positive,0.87,38708,positive
3144,negative,0.5,29468,negative
3145,positive,0.55,55208,positive
3146,negative,0.71,21343,negative
3147,positive,0.92,407,positive
3148,positive,0.65,60295,positive
3149,positive,0.77,54468,positive
3150,positive,0.43,29522,positive
3151,positive,0.87,45887,positive
3152,negative,0.63,36933,negative
3153,positive,0.63,21479,positive
3154,negative,0.66,66176,negative
3155,positive,0.71,11276,positive
3156,negative,0.62,30754,negative
3157,negative,0.84,26763,negative
3158,positive,0.9,42763,positive
3159,positive,0.58,68071,positive
3160,positive,0.63,71768,positive
3161,positive,0.96,42403,positive
3162,positive,0.47,16913,positive
3163,positive,0.61,14784,positive
3164,positive,0.55,38291,positive
3165,negative,0.46,42556,negative
3166,positive,0.44,51358,positive
3167,positive,0.79,30353,positive
3168,negative,0.652,10439,negative
3169,positive,0.65,48178,positive
3170,positive,0.75,35414,positive
3171,neutral,0.37,37895,neutral
3172,positive,0.63,9280,positive
3173,negative,0.75,5269,negative
3174,negative,0.82,57792,negative
3175,positive,0.686,33979,positive
3176,negative,0.51,19424,negative
3177,positive,0.58,29614,positive
3178,negative,0.62,28278,negative
3179,positive,0.37,51012,positive
3180,negative,0.73,38390,negative
3181,positive,0.78,43725,positive
3182,positive,0.71,26030,positive
3183,positive,0.49,41656,positive
3184,positive,0.82,18753,positive
3185,positive,0.42,11181,positive
3186,positive,0.76,56933,positive
3187,positive,0.64,41965,positive
3188,positive,0.41,64703,positive
3189,positive,0.87,44072,positive
3190,positive,0.86,14558,positive
3191,positive,0.65,36284,positive
3192,positive,0.55,13379,positive
3193,negative,0.59,29667,negative
3194,positive,0.79,11411,positive
3195,positive,0.69,32362,positive
3196,negative,0.46,11425,negative
3197,positive,0.83,31353,positive
3198,positive,0.72,14691,positive
3199,positive,0.66,7589,positive
3200,negative,0.39,10192,negative
3201,positive,0.53,38268,positive
3202,positive,0.7,5089,positive
3203,positive,0.62,18720,positive
3204,negative,0.56,30030,negative
3205,negative,0.57,70796,negative
3206,positive,0.49,7418,positive
3207,positive,0.8,8597,positive
3208,neutral,0.45,51311,neutral
3209,negative,0.81,53827,negative
3210,positive,0.68,21074,positive
3211,positive,0.63,4827,positive
3212,positive,0.52,11594,positive
3213,positive,0.87,25858,positive
3214,positive,0.81,71782,positive
3215,positive,0.56,68037,positive
3216,negative,0.82,36467,negative
3217,positive,0.61,59975,positive
3218,negative,0.58,38290,negative
3219,positive,0.55,32814,positive
3220,positive,0.63,5597,positive
3221,positive,0.56,64908,positive
3222,positive,0.44,47630,positive
3223,positive,0.39,34679,positive
3224,positive,0.72,44556,positive
3225,negative,0.53,27255,negative
3226,negative,0.46,13999,negative
3227,positive,0.54,49568,positive
3228,positive,0.75,44374,positive
3229,negative,0.66,21241,negative
3230,positive,0.69,55550,positive
3231,positive,0.79,58586,positive
3232,positive,0.58,31744,positive
3233,positive,0.5,45658,positive
3234,positive,0.75,38476,positive
3235,positive,0.59,46212,positive
3236,positive,0.62,63163,positive
3237,positive,0.76,66868,positive
3238,positive,0.6,66500,positive
3239,positive,0.76,46704,positive
3240,negative,0.62,7776,negative
3241,negative,0.56,8520,negative
3242,positive,0.73,34720,positive
3243,neutral,0.45,37277,neutral
3244,positive,0.99,64239,positive
3245,negative,0.55,39924,negative
3246,positive,0.62,4288,positive
3247,positive,0.643,30425,positive
3248,positive,0.66,37638,positive
3249,positive,0.48,30227,positive
3250,positive,0.63,26387,positive
3251,positive,0.79,46205,positive
3252,positive,0.95,41201,positive
3253,positive,0.66,44555,positive
3254,negative,0.5,19663,negative
3255,positive,0.8,58168,positive
3256,negative,0.77,52050,negative
3257,negative,0.58,64714,negative
3258,negative,0.7,24502,negative
3259,positive,0.66,52991,positive
3260,negative,0.7,45792,negative
3261,negative,0.61,52841,negative
3262,positive,0.72,41607,positive
3263,positive,0.62,56638,positive
3264,positive,0.53,62796,positive
3265,positive,0.76,13423,positive
3266,positive,0.67,56892,positive
3267,negative,0.38,4629,negative
3268,negative,0.44,26505,negative
3269,positive,0.69,17213,positive
3270,negative,0.55,34622,negative
3271,positive,0.65,71522,positive
3272,positive,0.8,25274,positive
3273,positive,0.7,23549,positive
3274,positive,0.4,29024,positive
3275,positive,0.52,12006,positive
3276,positive,0.645,38242,positive
3277,positive,0.66,15689,positive
3278,positive,0.49,65233,positive
3279,positive,0.53,50836,positive
3280,positive,0.54,40991,positive
3281,positive,0.77,7666,positive
3282,positive,0.74,68620,positive
3283,positive,0.41,50873,positive
3284,positive,0.79,43199,positive
3285,positive,0.7,69265,positive
3286,positive,0.49,50091,positive
3287,positive,0.8,66884,positive
3288,positive,0.609,23744,positive
3289,positive,0.58,66030,positive
3290,positive,0.62,21387,positive
3291,positive,0.59,27172,positive
3292,positive,0.62,30861,positive
3293,negative,0.46,6595,negative
3294,positive,0.49,32651,positive
3295,negative,0.8,8143,negative
3296,positive,0.54,46380,positive
3297,positive,0.53,24097,positive
3298,positive,0.79,35747,positive
3299,positive,0.63,56707,positive
3300,positive,0.5,24733,positive
3301,positive,0.9,61250,positive
3302,positive,0.68,56335,positive
3303,positive,0.53,24557,positive
3304,positive,0.5,1309,positive
3305,positive,0.83,19999,positive
3306,positive,0.67,30963,positive
3307,positive,0.822,36452,positive
3308,positive,0.77,10576,positive
3309,positive,0.44,65330,positive
3310,positive,0.51,50059,positive
3311,positive,0.68,23921,positive
3312,positive,0.81,68320,positive
3313,positive,0.66,44034,positive
3314,positive,0.59,42262,positive
3315,negative,0.44,39783,negative
3316,negative,0.78,27052,negative
3317,positive,0.72,38333,positive
3318,positive,0.64,57369,positive
3319,positive,0.84,55524,positive
3320,negative,0.51,39557,negative
3321,positive,0.48,37928,positive
3322,negative,0.48,50527,negative
3323,positive,0.73,52832,positive
3324,negative,0.37,3453,negative
3325,positive,0.43,33548,positive
3326,negative,0.73,31811,negative
3327,positive,0.57,12938,positive
3328,positive,0.67,6393,positive
3329,positive,0.83,32139,positive
3330,positive,0.56,69250,positive
3331,positive,0.83,45967,positive
3332,positive,0.61,24533,positive
3333,positive,0.56,53193,positive
3334,positive,0.43,38958,positive
3335,positive,0.84,11344,positive
3336,positive,0.51,57628,positive
3337,positive,0.8,25638,positive
3338,positive,0.61,48049,positive
3339,positive,0.76,522,positive
3340,positive,0.45,40781,positive
3341,negative,0.79,8340,negative
3342,positive,0.46,25896,positive
3343,positive,0.85,2223,positive
3344,positive,0.87,38005,positive
3345,positive,0.55,44019,positive
3346,positive,0.74,46481,positive
3347,positive,0.4,5647,positive
3348,positive,0.96,70343,positive
3349,negative,0.75,24369,negative
3350,positive,0.92,3878,positive
3351,positive,0.4,58337,positive
3352,positive,0.53,56951,positive
3353,positive,0.54,5825,positive
3354,positive,0.55,10331,positive
3355,positive,0.39,39836,positive
3356,negative,0.53,54544,negative
3357,positive,0.74,59495,positive
3358,positive,0.58,38644,positive
3359,negative,0.71,66303,negative
3360,positive,0.6,69240,positive
3361,positive,0.9,12293,positive
3362,positive,0.48,12728,positive
3363,positive,0.65,71452,positive
3364,negative,0.52,22780,negative
3365,positive,0.55,33816,positive
3366,positive,0.76,53360,positive
3367,positive,0.73,70109,positive
3368,negative,0.46,17527,negative
3369,positive,0.83,45483,positive
3370,positive,0.68,60664,positive
3371,positive,0.52,53253,positive
3372,positive,0.609,24551,positive
3373,positive,0.51,47228,positive
3374,positive,0.69,65980,positive
3375,positive,0.74,34340,positive
3376,positive,0.54,39187,positive
3377,neutral,0.53,11979,neutral
3378,positive,0.58,43155,positive
3379,negative,0.63,42919,negative
3380,negative,0.38,5372,negative
3381,positive,0.67,55218,positive
3382,negative,0.74,32610,negative
3383,positive,0.65,9132,positive
