=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     final_test_3
Instances:    10000
Attributes:   659
              [list of attributes omitted]
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 63.73 seconds

=== Predictions on training set ===

inst#,actual,predicted,error,prediction
1784,1:positive,1:positive,,0.98
1785,1:positive,1:positive,,0.97
1786,1:positive,1:positive,,0.99
1787,2:negative,2:negative,,0.89
1788,1:positive,1:positive,,0.94
1789,2:negative,2:negative,,0.99
1790,1:positive,1:positive,,0.97
1791,1:positive,1:positive,,0.97
1792,1:positive,1:positive,,0.94
1793,1:positive,1:positive,,0.9
1794,1:positive,1:positive,,0.96
1795,1:positive,1:positive,,0.86
1796,1:positive,1:positive,,0.95
1797,2:negative,2:negative,,0.9
1798,2:negative,2:negative,,0.82
1799,1:positive,1:positive,,0.94
1800,1:positive,1:positive,,1
1801,1:positive,1:positive,,0.89
1802,1:positive,1:positive,,0.99
1803,2:negative,2:negative,,0.74
1804,1:positive,1:positive,,1
1805,2:negative,2:negative,,0.83
1806,1:positive,1:positive,,0.87
1807,2:negative,2:negative,,0.71
1808,1:positive,1:positive,,0.95
1809,1:positive,1:positive,,0.98
1810,1:positive,1:positive,,0.96
1811,2:negative,2:negative,,0.89
1812,1:positive,1:positive,,0.92
1813,1:positive,1:positive,,0.98
1814,1:positive,1:positive,,0.91
1815,1:positive,1:positive,,1
1816,2:negative,2:negative,,0.74
1817,2:negative,2:negative,,0.73
1818,1:positive,1:positive,,0.94
1819,2:negative,2:negative,,0.89
1820,1:positive,1:positive,,0.94
1821,1:positive,1:positive,,0.97
1822,1:positive,1:positive,,0.95
1823,1:positive,1:positive,,1
1824,1:positive,1:positive,,0.97
1825,1:positive,1:positive,,0.94
1826,1:positive,1:positive,,0.97
1827,1:positive,1:positive,,0.99
1828,1:positive,1:positive,,0.93
1829,1:positive,1:positive,,0.79
1830,1:positive,1:positive,,0.94
1831,2:negative,2:negative,,0.76
1832,1:positive,1:positive,,0.92
1833,1:positive,1:positive,,0.96
1834,1:positive,1:positive,,0.99
1835,2:negative,2:negative,,0.81
1836,2:negative,2:negative,,0.76
1837,1:positive,1:positive,,0.97
1838,1:positive,1:positive,,0.92
1839,3:neutral,3:neutral,,0.72
1840,1:positive,1:positive,,0.97
1841,1:positive,1:positive,,0.88
1842,1:positive,1:positive,,0.98
1843,1:positive,1:positive,,0.83
1844,1:positive,1:positive,,0.9
1845,2:negative,2:negative,,0.79
1846,1:positive,1:positive,,1
1847,2:negative,2:negative,,0.75
1848,2:negative,2:negative,,0.82
1849,1:positive,1:positive,,0.95
1850,1:positive,1:positive,,0.88
1851,1:positive,1:positive,,0.92
1852,1:positive,1:positive,,0.95
1853,3:neutral,3:neutral,,0.72
1854,2:negative,2:negative,,0.71
1855,1:positive,1:positive,,0.97
1856,1:positive,1:positive,,0.92
1857,1:positive,1:positive,,0.99
1858,2:negative,2:negative,,0.84
1859,1:positive,1:positive,,0.91
1860,1:positive,1:positive,,0.98
1861,1:positive,1:positive,,0.9
1862,1:positive,1:positive,,0.97
1863,1:positive,1:positive,,1
1864,2:negative,2:negative,,0.77
1865,1:positive,1:positive,,0.99
1866,1:positive,1:positive,,0.91
1867,1:positive,1:positive,,0.99
1868,2:negative,2:negative,,0.75
1869,1:positive,1:positive,,0.95
1870,1:positive,1:positive,,1
1871,1:positive,1:positive,,0.96
1872,1:positive,1:positive,,0.97
1873,1:positive,1:positive,,0.94
1874,2:negative,2:negative,,0.7
1875,2:negative,2:negative,,0.82
1876,1:positive,1:positive,,0.86
1877,1:positive,1:positive,,0.9
1878,1:positive,1:positive,,1
1879,1:positive,1:positive,,0.97
1880,1:positive,1:positive,,0.98
1881,1:positive,1:positive,,0.96
1882,1:positive,1:positive,,0.96
1883,1:positive,1:positive,,0.94
1884,1:positive,1:positive,,0.97
1885,2:negative,2:negative,,0.89
1886,1:positive,1:positive,,0.87
1887,1:positive,1:positive,,0.95
1888,1:positive,1:positive,,1
1889,1:positive,1:positive,,0.98
1890,1:positive,1:positive,,0.97
1891,1:positive,1:positive,,0.97
1892,1:positive,1:positive,,0.99
1893,1:positive,1:positive,,1
1894,1:positive,1:positive,,0.89
1895,1:positive,1:positive,,0.89
1896,1:positive,1:positive,,0.96
1897,2:negative,2:negative,,0.72
1898,1:positive,1:positive,,0.99
1899,1:positive,1:positive,,0.93
1900,2:negative,2:negative,,0.91
1901,2:negative,2:negative,,0.76
1902,1:positive,1:positive,,0.92
1903,1:positive,1:positive,,0.9
1904,1:positive,1:positive,,0.96
1905,2:negative,2:negative,,0.76
1906,1:positive,1:positive,,0.99
1907,1:positive,1:positive,,0.84
1908,1:positive,1:positive,,0.95
1909,1:positive,1:positive,,0.96
1910,1:positive,1:positive,,0.86
1911,2:negative,2:negative,,0.87
1912,1:positive,1:positive,,0.9
1913,1:positive,1:positive,,0.94
1914,1:positive,1:positive,,0.94
1915,1:positive,1:positive,,0.83
1916,1:positive,1:positive,,0.98
1917,2:negative,2:negative,,0.91
1918,2:negative,2:negative,,0.87
1919,2:negative,2:negative,,0.89
1920,2:negative,2:negative,,0.8
1921,1:positive,1:positive,,0.94
1922,1:positive,1:positive,,0.9
1923,1:positive,1:positive,,0.93
1924,1:positive,1:positive,,0.96
1925,2:negative,2:negative,,0.9
1926,1:positive,1:positive,,0.82
1927,1:positive,1:positive,,0.98
1928,1:positive,1:positive,,0.95
1929,1:positive,1:positive,,0.93
1930,2:negative,2:negative,,0.92
1931,2:negative,2:negative,,0.86
1932,1:positive,1:positive,,0.9
1933,1:positive,1:positive,,0.96
1934,1:positive,1:positive,,0.88
1935,1:positive,1:positive,,0.95
1936,1:positive,1:positive,,0.98
1937,2:negative,2:negative,,0.86
1938,1:positive,1:positive,,0.93
1939,1:positive,1:positive,,0.95
1940,1:positive,1:positive,,0.93
1941,2:negative,2:negative,,0.95
1942,2:negative,2:negative,,0.87
1943,1:positive,1:positive,,0.97
1944,1:positive,1:positive,,0.94
1945,1:positive,1:positive,,0.97
1946,1:positive,1:positive,,0.94
1947,1:positive,1:positive,,0.9
1948,1:positive,1:positive,,0.96
1949,1:positive,1:positive,,0.99
1950,1:positive,1:positive,,0.93
1951,1:positive,1:positive,,0.92
1952,1:positive,1:positive,,0.98
1953,1:positive,1:positive,,0.96
1954,2:negative,2:negative,,0.68
1955,1:positive,1:positive,,0.99
1956,2:negative,2:negative,,0.76
1957,1:positive,1:positive,,0.97
1958,1:positive,1:positive,,0.98
1959,1:positive,1:positive,,1
1960,1:positive,1:positive,,0.97
1961,1:positive,1:positive,,0.91
1962,1:positive,1:positive,,0.91
1963,1:positive,1:positive,,0.91
1964,1:positive,1:positive,,0.97
1965,1:positive,1:positive,,0.96
1966,1:positive,1:positive,,0.83
1967,1:positive,1:positive,,0.95
1968,1:positive,1:positive,,0.94
1969,1:positive,1:positive,,0.99
1970,1:positive,1:positive,,0.81
1971,1:positive,1:positive,,0.9
1972,2:negative,2:negative,,0.79
1973,2:negative,2:negative,,0.93
1974,1:positive,1:positive,,0.88
1975,1:positive,1:positive,,0.99
1976,1:positive,1:positive,,0.98
1977,1:positive,1:positive,,0.98
1978,1:positive,1:positive,,0.93
1979,2:negative,2:negative,,0.75
1980,1:positive,1:positive,,0.98
1981,1:positive,1:positive,,0.91
1982,1:positive,1:positive,,0.99
1983,2:negative,2:negative,,0.83
1984,2:negative,2:negative,,0.82
1985,1:positive,1:positive,,0.96
1986,1:positive,1:positive,,0.93
1987,1:positive,1:positive,,0.91
1988,2:negative,2:negative,,0.86
1989,2:negative,2:negative,,0.89
1990,1:positive,1:positive,,0.95
1991,1:positive,1:positive,,0.91
1992,1:positive,1:positive,,0.93
1993,1:positive,1:positive,,0.97
1994,1:positive,1:positive,,0.96
1995,1:positive,1:positive,,0.97
1996,1:positive,1:positive,,0.94
1997,1:positive,1:positive,,0.92
1998,1:positive,1:positive,,0.93
1999,2:negative,2:negative,,0.9
2000,2:negative,2:negative,,0.77
2001,1:positive,1:positive,,0.97
2002,2:negative,2:negative,,0.81
2003,1:positive,1:positive,,0.79
2004,2:negative,2:negative,,0.94
2005,1:positive,1:positive,,0.92
2006,2:negative,2:negative,,0.72
2007,1:positive,1:positive,,0.92
2008,1:positive,1:positive,,0.93
2009,1:positive,1:positive,,0.94
2010,1:positive,1:positive,,0.91
2011,1:positive,1:positive,,1
2012,1:positive,1:positive,,0.92
2013,1:positive,1:positive,,0.96
2014,1:positive,1:positive,,0.99
2015,1:positive,1:positive,,0.96
2016,1:positive,1:positive,,0.92
2017,1:positive,1:positive,,0.97
2018,2:negative,2:negative,,0.81
2019,2:negative,2:negative,,0.77
2020,1:positive,1:positive,,0.87
2021,1:positive,1:positive,,0.96
2022,1:positive,1:positive,,0.99
2023,1:positive,1:positive,,0.92
2024,1:positive,1:positive,,0.91
2025,1:positive,1:positive,,0.91
2026,2:negative,2:negative,,0.8
2027,2:negative,2:negative,,0.81
2028,2:negative,2:negative,,0.93
2029,1:positive,1:positive,,0.96
2030,1:positive,1:positive,,0.96
2031,1:positive,1:positive,,0.94
2032,1:positive,1:positive,,0.97
2033,2:negative,2:negative,,0.81
2034,1:positive,1:positive,,0.93
2035,1:positive,1:positive,,0.92
2036,1:positive,1:positive,,0.99
2037,2:negative,2:negative,,0.81
2038,1:positive,1:positive,,0.92
2039,1:positive,1:positive,,0.93
2040,1:positive,1:positive,,0.95
2041,1:positive,1:positive,,0.94
2042,1:positive,1:positive,,0.88
2043,1:positive,1:positive,,0.97
2044,1:positive,1:positive,,0.98
2045,2:negative,2:negative,,0.93
2046,1:positive,1:positive,,0.99
2047,1:positive,1:positive,,0.92
2048,1:positive,1:positive,,0.93
2049,1:positive,1:positive,,0.96
2050,1:positive,1:positive,,0.98
2051,1:positive,1:positive,,0.96
2052,1:positive,1:positive,,0.99
2053,1:positive,1:positive,,0.94
2054,1:positive,1:positive,,0.94
2055,1:positive,1:positive,,0.93
2056,1:positive,1:positive,,0.92
2057,1:positive,1:positive,,0.92
2058,1:positive,1:positive,,0.98
2059,2:negative,2:negative,,0.95
2060,1:positive,1:positive,,0.99
2061,1:positive,1:positive,,0.8
2062,1:positive,1:positive,,0.95
2063,1:positive,1:positive,,0.98
2064,2:negative,2:negative,,0.74
2065,2:negative,2:negative,,0.9
2066,1:positive,1:positive,,0.91
2067,1:positive,1:positive,,0.97
2068,1:positive,1:positive,,0.94
2069,2:negative,2:negative,,0.74
2070,1:positive,1:positive,,0.99
2071,1:positive,1:positive,,0.92
2072,1:positive,1:positive,,0.99
2073,1:positive,1:positive,,0.98
2074,1:positive,1:positive,,0.86
2075,1:positive,1:positive,,1
2076,2:negative,2:negative,,0.93
2077,1:positive,1:positive,,0.9
2078,2:negative,2:negative,,0.83
2079,1:positive,1:positive,,0.88
2080,1:positive,1:positive,,0.97
2081,1:positive,1:positive,,0.96
2082,1:positive,1:positive,,0.99
2083,1:positive,1:positive,,0.97
2084,2:negative,2:negative,,0.82
2085,1:positive,1:positive,,0.96
2086,1:positive,1:positive,,0.92
2087,2:negative,2:negative,,0.86
2088,2:negative,2:negative,,0.79
2089,1:positive,1:positive,,0.99
2090,1:positive,1:positive,,0.89
2091,1:positive,1:positive,,0.96
2092,1:positive,1:positive,,0.97
2093,1:positive,1:positive,,0.98
2094,1:positive,1:positive,,0.99
2095,1:positive,1:positive,,0.97
2096,1:positive,1:positive,,0.95
2097,1:positive,1:positive,,0.98
2098,1:positive,1:positive,,0.96
2099,1:positive,1:positive,,0.92
2100,1:positive,1:positive,,0.86
2101,1:positive,1:positive,,1
2102,2:negative,2:negative,,0.84
2103,1:positive,1:positive,,0.79
2104,1:positive,1:positive,,0.96
2105,1:positive,1:positive,,1
2106,1:positive,1:positive,,0.96
2107,1:positive,1:positive,,0.99
2108,1:positive,1:positive,,0.81
2109,1:positive,1:positive,,0.89
2110,1:positive,1:positive,,0.95
2111,2:negative,2:negative,,0.84
2112,1:positive,1:positive,,0.93
2113,2:negative,2:negative,,0.93
2114,1:positive,1:positive,,0.96
2115,1:positive,1:positive,,0.97
2116,2:negative,2:negative,,0.79
2117,1:positive,1:positive,,0.95
2118,2:negative,2:negative,,0.96
2119,1:positive,1:positive,,0.95
2120,1:positive,1:positive,,0.97
2121,1:positive,1:positive,,0.87
2122,1:positive,1:positive,,0.89
2123,1:positive,1:positive,,0.92
2124,1:positive,1:positive,,0.98
2125,1:positive,1:positive,,0.96
2126,1:positive,1:positive,,0.98
2127,1:positive,1:positive,,0.99
2128,1:positive,1:positive,,0.97
2129,2:negative,2:negative,,0.78
2130,1:positive,1:positive,,0.83
2131,1:positive,1:positive,,0.95
2132,1:positive,1:positive,,0.91
2133,2:negative,2:negative,,0.86
2134,1:positive,1:positive,,0.96
2135,1:positive,1:positive,,1
2136,1:positive,1:positive,,0.94
2137,1:positive,1:positive,,0.8
2138,1:positive,1:positive,,0.9
2139,1:positive,1:positive,,0.94
2140,1:positive,1:positive,,0.97
2141,1:positive,1:positive,,0.88
2142,1:positive,1:positive,,0.98
2143,1:positive,1:positive,,0.96
2144,1:positive,1:positive,,0.82
2145,3:neutral,3:neutral,,0.68
2146,1:positive,1:positive,,0.96
2147,2:negative,2:negative,,0.86
2148,1:positive,1:positive,,0.97
2149,1:positive,1:positive,,0.88
2150,1:positive,1:positive,,0.95
2151,1:positive,1:positive,,0.97
2152,1:positive,1:positive,,0.96
2153,1:positive,1:positive,,0.94
2154,2:negative,2:negative,,0.91
2155,1:positive,1:positive,,0.96
2156,1:positive,1:positive,,0.99
2157,2:negative,2:negative,,0.73
2158,1:positive,1:positive,,1
2159,2:negative,2:negative,,0.72
2160,2:negative,2:negative,,0.88
2161,2:negative,2:negative,,0.92
2162,1:positive,1:positive,,0.98
2163,2:negative,2:negative,,0.74
2164,2:negative,2:negative,,0.93
2165,2:negative,2:negative,,0.9
2166,1:positive,1:positive,,0.95
2167,1:positive,1:positive,,0.91
2168,1:positive,1:positive,,0.92
2169,1:positive,1:positive,,0.98
2170,2:negative,2:negative,,0.82
2171,1:positive,1:positive,,0.9
2172,1:positive,1:positive,,0.92
2173,2:negative,2:negative,,0.83
2174,2:negative,2:negative,,0.78
2175,1:positive,1:positive,,0.99
2176,2:negative,2:negative,,0.88
2177,2:negative,2:negative,,0.71
2178,1:positive,1:positive,,0.92
2179,1:positive,1:positive,,1
2180,1:positive,1:positive,,0.95
2181,1:positive,1:positive,,0.99
2182,1:positive,1:positive,,0.92
2183,1:positive,1:positive,,0.95
2184,2:negative,2:negative,,0.73
2185,1:positive,1:positive,,0.91
2186,1:positive,1:positive,,0.97
2187,2:negative,2:negative,,0.9
2188,2:negative,2:negative,,0.79
2189,2:negative,2:negative,,0.76
2190,1:positive,1:positive,,0.93
2191,1:positive,1:positive,,1
2192,2:negative,2:negative,,0.87
2193,1:positive,1:positive,,1
2194,1:positive,1:positive,,0.95
2195,1:positive,1:positive,,0.95
2196,2:negative,2:negative,,0.71
2197,2:negative,2:negative,,0.86
2198,2:negative,2:negative,,0.89
2199,2:negative,2:negative,,0.83
2200,1:positive,1:positive,,0.98
2201,1:positive,1:positive,,0.99
2202,1:positive,1:positive,,0.9
2203,2:negative,2:negative,,0.89
2204,1:positive,1:positive,,0.9
2205,1:positive,1:positive,,0.97
2206,2:negative,2:negative,,0.85
2207,1:positive,1:positive,,0.95
2208,1:positive,1:positive,,0.99
2209,1:positive,1:positive,,0.93
2210,1:positive,1:positive,,0.94
2211,1:positive,1:positive,,0.9
2212,1:positive,1:positive,,0.98
2213,1:positive,1:positive,,0.95
2214,1:positive,1:positive,,1
2215,1:positive,1:positive,,0.88
2216,1:positive,1:positive,,0.95
2217,1:positive,1:positive,,0.85
2218,2:negative,2:negative,,0.71
2219,1:positive,1:positive,,0.9
2220,1:positive,1:positive,,0.98
2221,1:positive,1:positive,,0.93
2222,1:positive,1:positive,,0.91
2223,1:positive,1:positive,,0.84
2224,1:positive,1:positive,,1
2225,1:positive,1:positive,,0.99
2226,2:negative,2:negative,,0.9
2227,1:positive,1:positive,,0.98
2228,1:positive,1:positive,,0.98
2229,1:positive,1:positive,,0.97
2230,1:positive,1:positive,,0.91
2231,1:positive,1:positive,,0.95
2232,1:positive,1:positive,,0.89
2233,1:positive,1:positive,,0.85
2234,2:negative,2:negative,,0.74
2235,2:negative,2:negative,,0.88
2236,1:positive,1:positive,,0.95
2237,1:positive,1:positive,,0.97
2238,1:positive,1:positive,,0.85
2239,2:negative,2:negative,,0.89
2240,2:negative,2:negative,,0.85
2241,1:positive,1:positive,,0.95
2242,1:positive,1:positive,,0.9
2243,2:negative,2:negative,,0.82
2244,2:negative,2:negative,,0.93
2245,1:positive,1:positive,,0.94
2246,1:positive,1:positive,,0.94
2247,1:positive,1:positive,,0.95
2248,1:positive,1:positive,,0.89
2249,1:positive,1:positive,,0.9
2250,2:negative,2:negative,,0.87
2251,1:positive,1:positive,,1
2252,2:negative,2:negative,,0.82
2253,1:positive,1:positive,,0.82
2254,1:positive,1:positive,,1
2255,1:positive,1:positive,,0.81
2256,1:positive,1:positive,,0.98
2257,2:negative,2:negative,,0.78
2258,1:positive,1:positive,,0.97
2259,1:positive,1:positive,,0.99
2260,2:negative,2:negative,,0.84
2261,1:positive,1:positive,,0.87
2262,2:negative,2:negative,,0.89
2263,1:positive,1:positive,,0.96
2264,1:positive,1:positive,,0.91
2265,1:positive,1:positive,,0.97
2266,2:negative,2:negative,,0.88
2267,2:negative,2:negative,,0.84
2268,1:positive,1:positive,,0.94
2269,1:positive,1:positive,,0.81
2270,2:negative,2:negative,,0.89
2271,1:positive,1:positive,,0.95
2272,1:positive,1:positive,,0.86
2273,1:positive,1:positive,,0.96
2274,2:negative,2:negative,,0.74
2275,1:positive,1:positive,,0.9
2276,1:positive,1:positive,,0.98
2277,2:negative,2:negative,,0.85
2278,1:positive,1:positive,,0.95
2279,1:positive,1:positive,,0.95
2280,2:negative,2:negative,,0.83
2281,1:positive,1:positive,,0.92
2282,2:negative,2:negative,,0.83
2283,1:positive,1:positive,,0.98
2284,1:positive,1:positive,,0.85
2285,1:positive,1:positive,,0.86
2286,2:negative,2:negative,,0.89
2287,1:positive,1:positive,,1
2288,1:positive,1:positive,,0.95
2289,1:positive,1:positive,,0.92
2290,1:positive,1:positive,,1
2291,1:positive,1:positive,,0.96
2292,1:positive,1:positive,,0.99
2293,1:positive,1:positive,,0.99
2294,1:positive,1:positive,,1
2295,1:positive,1:positive,,0.88
2296,1:positive,1:positive,,0.97
2297,1:positive,1:positive,,0.97
2298,2:negative,2:negative,,0.89
2299,1:positive,1:positive,,0.98
2300,1:positive,1:positive,,0.97
2301,2:negative,2:negative,,0.85
2302,1:positive,1:positive,,0.95
2303,1:positive,1:positive,,0.84
2304,1:positive,1:positive,,0.83
2305,1:positive,1:positive,,0.95
2306,1:positive,1:positive,,0.93
2307,1:positive,1:positive,,0.98
2308,2:negative,2:negative,,0.84
2309,1:positive,1:positive,,1
2310,2:negative,2:negative,,0.74
2311,2:negative,2:negative,,0.89
2312,1:positive,1:positive,,0.98
2313,1:positive,1:positive,,0.92
2314,1:positive,1:positive,,0.86
2315,1:positive,1:positive,,0.97
2316,1:positive,1:positive,,0.93
2317,2:negative,2:negative,,0.86
2318,1:positive,1:positive,,0.93
2319,1:positive,1:positive,,0.95
2320,3:neutral,3:neutral,,0.63
2321,1:positive,1:positive,,0.77
2322,2:negative,2:negative,,0.77
2323,1:positive,1:positive,,0.96
2324,1:positive,1:positive,,0.87
2325,1:positive,1:positive,,0.91
2326,3:neutral,3:neutral,,0.64
2327,1:positive,1:positive,,0.98
2328,1:positive,1:positive,,0.96
2329,2:negative,2:negative,,0.9
2330,1:positive,1:positive,,0.91
2331,1:positive,1:positive,,0.98
2332,1:positive,1:positive,,0.94
2333,1:positive,1:positive,,0.96
2334,1:positive,1:positive,,0.98
2335,1:positive,1:positive,,0.96
2336,2:negative,2:negative,,0.71
2337,1:positive,1:positive,,0.93
2338,1:positive,1:positive,,0.94
2339,1:positive,1:positive,,0.97
2340,2:negative,2:negative,,0.79
2341,1:positive,1:positive,,0.87
2342,2:negative,2:negative,,0.92
2343,1:positive,1:positive,,0.95
2344,1:positive,1:positive,,0.98
2345,1:positive,1:positive,,0.98
2346,1:positive,1:positive,,1
2347,1:positive,1:positive,,0.88
2348,1:positive,1:positive,,0.95
2349,1:positive,1:positive,,0.85
2350,1:positive,1:positive,,0.98
2351,1:positive,1:positive,,0.97
2352,2:negative,2:negative,,0.96
2353,1:positive,1:positive,,1
2354,2:negative,2:negative,,0.85
2355,1:positive,1:positive,,0.96
2356,1:positive,1:positive,,0.78
2357,2:negative,2:negative,,0.84
2358,1:positive,1:positive,,0.98
2359,1:positive,1:positive,,0.98
2360,1:positive,1:positive,,1
2361,1:positive,1:positive,,0.98
2362,1:positive,1:positive,,0.75
2363,1:positive,1:positive,,0.94
2364,1:positive,1:positive,,1
2365,1:positive,1:positive,,0.97
2366,2:negative,2:negative,,0.93
2367,1:positive,1:positive,,0.99
2368,1:positive,1:positive,,0.91
2369,1:positive,1:positive,,0.93
2370,1:positive,1:positive,,0.94
2371,1:positive,1:positive,,0.96
2372,1:positive,1:positive,,0.99
2373,1:positive,1:positive,,0.93
2374,1:positive,1:positive,,0.93
2375,1:positive,1:positive,,0.98
2376,1:positive,1:positive,,0.97
2377,1:positive,1:positive,,0.98
2378,1:positive,1:positive,,0.9
2379,1:positive,1:positive,,0.89
2380,1:positive,1:positive,,0.94
2381,2:negative,2:negative,,0.83
2382,1:positive,1:positive,,0.98
2383,1:positive,1:positive,,0.9
2384,1:positive,1:positive,,0.97
2385,1:positive,1:positive,,0.98
2386,1:positive,1:positive,,0.99
2387,1:positive,1:positive,,0.93
2388,1:positive,1:positive,,0.99
2389,2:negative,2:negative,,0.83
2390,1:positive,1:positive,,1
2391,1:positive,1:positive,,0.99
2392,1:positive,1:positive,,0.96
2393,1:positive,1:positive,,0.97
2394,1:positive,1:positive,,0.92
2395,1:positive,1:positive,,0.87
2396,1:positive,1:positive,,0.91
2397,1:positive,1:positive,,0.96
2398,2:negative,2:negative,,0.88
2399,1:positive,1:positive,,0.91
2400,2:negative,2:negative,,0.91
2401,1:positive,1:positive,,0.99
2402,1:positive,1:positive,,0.97
2403,1:positive,1:positive,,0.97
2404,1:positive,1:positive,,0.97
2405,1:positive,1:positive,,0.96
2406,1:positive,1:positive,,0.87
2407,2:negative,2:negative,,0.67
2408,1:positive,1:positive,,0.96
2409,2:negative,2:negative,,0.76
2410,1:positive,1:positive,,0.95
2411,1:positive,1:positive,,0.91
2412,1:positive,1:positive,,0.9
2413,1:positive,1:positive,,0.95
2414,2:negative,2:negative,,0.72
2415,1:positive,1:positive,,0.97
2416,1:positive,1:positive,,0.93
2417,1:positive,1:positive,,0.89
2418,1:positive,1:positive,,0.99
2419,1:positive,1:positive,,0.99
2420,1:positive,1:positive,,1
2421,2:negative,2:negative,,0.76
2422,1:positive,1:positive,,0.94
2423,1:positive,1:positive,,0.93
2424,1:positive,1:positive,,1
2425,1:positive,1:positive,,0.9
2426,1:positive,1:positive,,0.94
2427,1:positive,1:positive,,0.94
2428,2:negative,2:negative,,0.96
2429,1:positive,1:positive,,0.93
2430,1:positive,1:positive,,0.99
2431,1:positive,1:positive,,0.81
2432,1:positive,1:positive,,1
2433,1:positive,1:positive,,0.97
2434,1:positive,1:positive,,0.9
2435,1:positive,1:positive,,0.99
2436,2:negative,2:negative,,0.82
2437,1:positive,1:positive,,0.95
2438,1:positive,1:positive,,0.97
2439,1:positive,1:positive,,0.98
2440,1:positive,1:positive,,0.95
2441,2:negative,2:negative,,0.74
2442,2:negative,2:negative,,0.74
2443,1:positive,1:positive,,0.99
2444,1:positive,1:positive,,0.98
2445,2:negative,2:negative,,0.76
2446,1:positive,1:positive,,0.88
2447,1:positive,1:positive,,0.91
2448,1:positive,1:positive,,0.95
2449,1:positive,1:positive,,0.94
2450,1:positive,1:positive,,0.95
2451,1:positive,1:positive,,0.98
2452,1:positive,1:positive,,0.9
2453,1:positive,1:positive,,0.99
2454,1:positive,1:positive,,0.92
2455,1:positive,1:positive,,0.87
2456,1:positive,1:positive,,0.98
2457,2:negative,2:negative,,0.77
2458,1:positive,1:positive,,0.95
2459,1:positive,1:positive,,0.95
2460,1:positive,1:positive,,0.83
2461,1:positive,1:positive,,0.92
2462,1:positive,1:positive,,0.89
2463,2:negative,2:negative,,0.78
2464,1:positive,1:positive,,1
2465,1:positive,1:positive,,0.96
2466,1:positive,1:positive,,0.88
2467,1:positive,1:positive,,0.97
2468,1:positive,1:positive,,0.91
2469,1:positive,1:positive,,0.99
2470,1:positive,1:positive,,0.81
2471,1:positive,1:positive,,0.89
2472,2:negative,2:negative,,0.8
2473,1:positive,1:positive,,0.98
2474,1:positive,1:positive,,0.97
2475,1:positive,1:positive,,0.93
2476,1:positive,1:positive,,0.99
2477,2:negative,2:negative,,0.84
2478,1:positive,1:positive,,0.94
2479,1:positive,1:positive,,1
2480,1:positive,1:positive,,0.96
2481,1:positive,1:positive,,0.99
2482,2:negative,2:negative,,0.84
2483,2:negative,2:negative,,0.91
2484,1:positive,1:positive,,1
2485,1:positive,1:positive,,0.82
2486,1:positive,1:positive,,0.98
2487,2:negative,2:negative,,0.66
2488,1:positive,1:positive,,0.96
2489,1:positive,1:positive,,0.95
2490,1:positive,1:positive,,0.97
2491,1:positive,1:positive,,0.97
2492,1:positive,1:positive,,0.97
2493,1:positive,1:positive,,0.89
2494,1:positive,1:positive,,0.97
2495,1:positive,1:positive,,0.99
2496,1:positive,1:positive,,0.98
2497,1:positive,1:positive,,0.97
2498,1:positive,1:positive,,0.95
2499,1:positive,1:positive,,0.93
2500,2:negative,2:negative,,0.82
2501,2:negative,2:negative,,0.74
2502,1:positive,1:positive,,0.87
2503,1:positive,1:positive,,0.87
2504,1:positive,1:positive,,0.93
2505,2:negative,2:negative,,0.84
2506,1:positive,1:positive,,0.92
2507,1:positive,1:positive,,0.96
2508,1:positive,1:positive,,0.98
2509,1:positive,1:positive,,0.94
2510,1:positive,1:positive,,0.99
2511,1:positive,1:positive,,0.99
2512,1:positive,1:positive,,0.99
2513,1:positive,1:positive,,0.99
2514,1:positive,1:positive,,0.99
2515,1:positive,1:positive,,0.98
2516,1:positive,1:positive,,0.88
2517,1:positive,1:positive,,0.95
2518,1:positive,1:positive,,0.93
2519,2:negative,2:negative,,0.87
2520,1:positive,1:positive,,0.97
2521,2:negative,2:negative,,0.83
2522,1:positive,1:positive,,0.94
2523,1:positive,1:positive,,0.94
2524,1:positive,1:positive,,0.97
2525,2:negative,2:negative,,0.76
2526,1:positive,1:positive,,0.98
2527,2:negative,2:negative,,0.88
2528,1:positive,1:positive,,0.97
2529,1:positive,1:positive,,0.92
2530,1:positive,1:positive,,0.94
2531,1:positive,1:positive,,0.97
2532,1:positive,1:positive,,0.98
2533,2:negative,2:negative,,0.71
2534,1:positive,1:positive,,0.98
2535,1:positive,1:positive,,0.89
2536,1:positive,1:positive,,0.93
2537,1:positive,1:positive,,0.93
2538,1:positive,1:positive,,0.94
2539,2:negative,2:negative,,0.74
2540,2:negative,2:negative,,0.84
2541,2:negative,2:negative,,0.81
2542,1:positive,1:positive,,1
2543,1:positive,1:positive,,0.98
2544,2:negative,2:negative,,0.83
2545,1:positive,1:positive,,0.99
2546,1:positive,1:positive,,0.96
2547,1:positive,1:positive,,0.99
2548,1:positive,1:positive,,0.94
2549,1:positive,1:positive,,0.99
2550,2:negative,2:negative,,0.77
